GSM,Group,submission_date,last_update_date,title,source_name_ch1,characteristics_ch1,molecule_ch1,extract_protocol_ch1,label_ch1,label_protocol_ch1,hyb_protocol,scan_protocol,description,data_processing,platform_id
GSM119628,Control,,,,,,,,,,,,,,
GSM119629,Control,,,,,,,,,,,,,,
GSM119630,Control,,,,,,,,,,,,,,
GSM119631,Control,,,,,,,,,,,,,,
GSM119632,Control,,,,,,,,,,,,,,
GSM119633,Control,,,,,,,,,,,,,,
GSM119634,Control,,,,,,,,,,,,,,
GSM119635,Control,,,,,,,,,,,,,,
GSM119636,Control,,,,,,,,,,,,,,
GSM119637,Control,,,,,,,,,,,,,,
GSM119638,Control,,,,,,,,,,,,,,
GSM119639,Control,,,,,,,,,,,,,,
GSM119640,Control,,,,,,,,,,,,,,
GSM238799,AD,,,,,,,,,,,,,,
GSM238800,AD,,,,,,,,,,,,,,
GSM238801,AD,,,,,,,,,,,,,,
GSM238802,AD,,,,,,,,,,,,,,
GSM238803,AD,,,,,,,,,,,,,,
GSM238804,AD,,,,,,,,,,,,,,
GSM238805,AD,,,,,,,,,,,,,,
GSM238806,AD,,,,,,,,,,,,,,
GSM238807,AD,,,,,,,,,,,,,,
GSM238808,AD,,,,,,,,,,,,,,
